,trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha,subject
0,1,118820.13440004084,4883.936600002926,False,15000.0,,True,True,inf,True,50,ujuzi,knowledge,0.3,0
1,2,126047.07490000874,1646.066899993457,True,7217.064756936508,knowledge,False,True,2110.032378468254,True,50,ujuzi,knowledge,0.3,0
2,3,132362.35030001262,4523.2601999887265,False,15000.0,,True,True,inf,True,54,degaga,glasses,0.3,0
3,4,139224.719299993,1297.6233000517823,True,6495.2832999710945,glasses,False,True,2082.1416499855472,True,54,degaga,glasses,0.3,0
4,5,144304.73080003867,4968.492799962405,False,15000.0,,True,True,inf,True,22,kazi,work,0.3,0
5,6,151618.75650001457,5675.696899998002,False,15000.0,,True,True,inf,True,43,kiti,chair,0.3,0
6,7,159633.16710002255,6491.951500007417,False,6468.065861636537,,False,False,2568.0329308182686,True,22,kazi,work,0.3,0
7,8,168510.56409999728,3845.6938000163063,True,6935.171546161445,chair,False,True,2635.0857730807224,True,43,kiti,chair,0.3,0
8,9,175891.06029999675,2028.511900047306,True,7784.419122308574,knowledge,False,True,2393.709561154287,True,50,ujuzi,knowledge,0.25117187500000004,0
9,10,182738.11299999943,6411.151200009044,False,15000.0,,True,True,inf,True,28,kichwa,head,0.3,0
10,11,191500.41360000614,1595.3464999911375,True,7193.255615319632,glasses,False,True,2431.127807659816,True,54,degaga,glasses,0.250390625,0
11,12,197214.95719999075,1711.5891000139527,True,6390.945517056675,head,False,True,2529.4727585283376,True,28,kichwa,head,0.3,0
12,13,202277.9087999952,3823.3258000109345,False,15000.0,,True,True,inf,True,26,siri,secret,0.3,0
13,14,208442.60500004748,6873.392499983311,False,15000.0,,True,True,inf,True,65,maliki,king,0.3,0
14,15,217655.06290004123,1729.1820999816991,False,7138.386102061122,song,False,True,2570.193051030561,True,26,siri,secret,0.3,0
15,16,223151.23350004433,2408.5102999815717,True,6412.243819187196,king,False,True,2540.121909593598,True,65,maliki,king,0.3,0
16,17,228983.73890004586,4310.841599944979,False,6480.247236535562,chair,False,True,2574.123618267781,True,22,kazi,work,0.349609375,0
17,18,236545.4166000127,1255.4470000322908,True,6776.966418659112,chair,False,True,2555.983209329556,True,43,kiti,chair,0.250390625,0
