    trial_num  trial_start_time          rt  correct   prompt     answer  response
0           1        17754.1582   1810.6825     True    limau      lemon     lemon
1           2        22619.8849   4875.7230     True   farasi      horse     horse
2           3        30532.3949   1655.4909     True   fasihi       book      book
3           4        35080.6090   5873.9086     True  maslahi   interest  interest
4           5        44925.1954  14992.2791    False     maji        ice          
5           6        61918.3519   1330.7884     True  tumbili     monkey    monkey
6           7        66499.3073   1281.2260     True   rafiki     friend    friend
7           8        71163.3306   1297.1957     True     baba     father    father
8           9        75494.5672  15008.8211    False  shukuru     thanks          
9          10        92503.6292   1985.9982     True      ufu      death     death
10         11        97684.2485   4562.9785    False     duka       shop       bed
11         12       104881.4059   1481.3738     True   samaki       fish      fish
12         13       109579.0891  15059.1352    False    barua     letter          
13         14       126637.3682   1219.5877     True    tofaa      apple     apple
14         15       130819.4335   3196.9046     True     kisu      knife     knife
15         16       137132.8854  11986.4626    False    lugha   language         l
16         17       154124.7633  15041.7041    False  kitanda        bed          
17         18       171166.6005  14075.8807    False    wimbo       song          
18         19       187209.3245  11510.0119    False    chama    society          
19         20       200686.2072   5547.8243    False     jiwe      stone          
20         21       208199.6194   2447.5665     True     kioo     mirror    mirror
21         22       213829.7626   8912.4605     True   chunga        pot       pot
22         23       225541.8239   2051.0495    False   maliki       king      head
23         24       230539.1994   3696.6977     True     siri     secret    secret
24         25       237669.3353   2991.4748     True   kichwa       head      head
25         26       243917.3926  11046.6537    False     kiti      chair          
26         27       256945.0069   1031.4266     True     kazi       work      work
27         28       260841.9871  10161.7637     True   degaga    glasses   glasses
28         29       274154.8255   8825.4054    False    ujuzi  knowledge          
