,trial_num,trial_start_time,rt,correct,prompt,answer,response
0,1,17158.92580000218,1581.1812999891117,True,kofia,hat,hat
1,2,21589.988499996252,1697.864199988544,True,maji,ice,ice
2,3,25788.07529999176,inf,True,maumiva,pain,pain
3,4,32468.455499969423,7803.762800002005,True,ujuzi,knowledge,knowledge
4,5,43996.314299991354,2031.3050000113435,True,shukuru,thanks,thanks
5,6,50643.205799977295,1554.956600011792,True,dubu,bear,bear
6,7,55556.93829996744,1199.0181000437587,True,tumbili,monkey,monkey
7,8,60072.04639998963,1515.8012000028975,True,kichwa,head,head
8,9,64520.80439997371,1114.186700026039,True,maziwa,milk,milk
9,10,68701.54949999414,inf,True,baskeli,bike,bike
10,11,73549.18869998073,1498.5764999873936,True,kuku,chicken,chicken
11,12,78529.90439999849,1499.3095999816433,True,chama,society,society
12,13,85043.4205000056,1581.325499981176,True,tabibu,doctor,doctor
13,14,89808.00550000276,1166.4042999618687,False,rafiki,friend,fried
14,15,94189.77449997328,1385.540499992203,True,chunga,pot,pot
15,16,98337.22539996961,inf,True,jioni,evening,evening
16,17,109398.86690001003,2057.920199993532,True,chakula,food,food
17,18,114130.0135999918,6449.927799985744,True,basi,bus,bus
18,19,123259.5258000074,3697.160999989137,True,wakati,alarm,alarm
19,20,129856.4325000043,1140.5339000048116,True,pombe,beer,beer
20,21,133554.03649999062,1073.0681999702938,True,ufu,death,death
21,22,137652.84679998877,2562.9603000124916,True,tunda,fruit,fruit
22,23,143033.63839996746,2326.905500027351,True,duara,wheel,wheel
23,24,148730.78529996565,1306.339900009334,True,kioo,mirror,mirror
24,25,153244.67270000605,2569.8371999897063,True,bibi,grandmother,grandmother
25,26,160191.53239997104,1281.6442000330426,True,kitanda,bed,bed
26,27,164239.78770000394,989.0420999727212,True,siri,secret,secret
27,28,168771.777499991,1569.4002999807708,True,degaga,glasses,glasses
28,29,173852.05320001114,1045.7778999698348,True,farasi,horse,horse
29,30,179100.54819996003,inf,True,kamba,rope,rope
