trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha
1,127411.74990002764,2743.6303999857046,False,15000,,True,True,inf,False,69,maumiva,pain,0.3
2,132485.4903999949,917.8952000220306,True,15000,pain,False,True,1927.790371792209,False,69,maumiva,pain,0.3
3,136242.75869998382,1744.59450005088,False,15000,,True,True,inf,False,29,skati,skirt,0.3
4,140315.98630000371,1063.3610999793746,True,15000,skirt,False,True,1823.9881965506468,False,29,skati,skirt,0.3
5,144364.41520001972,3046.94789997302,False,15000,,True,True,inf,False,59,wingu,cloud,0.3
6,149739.85700000776,3263.5682999971323,False,15000,,True,True,inf,False,26,siri,secret,0.3
7,155333.59470003052,925.7127000018954,True,15000,cloud,False,True,2351.408936097421,False,59,wingu,cloud,0.3
8,159242.8656000411,760.4916999698617,True,15000,secret,False,True,2264.9809153085635,False,26,siri,secret,0.3
9,163273.90000002924,3017.451699997764,False,15000,,True,True,inf,False,9,ajabu,wonder,0.3
10,168618.03810001584,2617.3444999731146,False,15000,,True,True,inf,False,58,limau,lemon,0.3
11,173565.4333999846,1005.9525000397116,True,15000,wonder,False,True,2312.5377082651366,False,9,ajabu,wonder,0.3
12,177460.91040002648,654.4842000002973,True,15000,lemon,False,True,2222.9943402353574,False,58,limau,lemon,0.3
13,181037.0636000298,1590.2227999758907,True,15000,pain,False,True,2406.6807919932003,False,69,maumiva,pain,0.250390625
14,186067.0194000122,1176.2647000141442,True,15000,skirt,False,True,2386.784690892881,False,29,skati,skirt,0.250390625
15,190157.686999999,3725.6667999899946,False,15000,,True,True,inf,False,46,kofia,hat,0.3
16,196212.38320000703,8422.886800020933,False,15000,,True,True,inf,False,28,kichwa,head,0.3
17,206963.93160003936,3567.336799984332,False,15000,head,False,True,2631.5310526445496,False,46,kofia,hat,0.3
18,213945.2128999983,640.417399990838,True,15000,head,False,True,2669.3728788925337,False,28,kichwa,head,0.3
19,217811.86519999756,1351.3847999856807,True,15000,cloud,False,True,2520.6751769094944,False,59,wingu,cloud,0.250390625
