    trial_num  trial_start_time         rt  correct   prompt       answer     response
0           1        17158.9258  1581.1813     True    kofia          hat          hat
1           2        21589.9885  1697.8642     True     maji          ice          ice
2           3        25788.0753        inf     True  maumiva         pain         pain
3           4        32468.4555  7803.7628     True    ujuzi    knowledge    knowledge
4           5        43996.3143  2031.3050     True  shukuru       thanks       thanks
5           6        50643.2058  1554.9566     True     dubu         bear         bear
6           7        55556.9383  1199.0181     True  tumbili       monkey       monkey
7           8        60072.0464  1515.8012     True   kichwa         head         head
8           9        64520.8044  1114.1867     True   maziwa         milk         milk
9          10        68701.5495        inf     True  baskeli         bike         bike
10         11        73549.1887  1498.5765     True     kuku      chicken      chicken
11         12        78529.9044  1499.3096     True    chama      society      society
12         13        85043.4205  1581.3255     True   tabibu       doctor       doctor
13         14        89808.0055  1166.4043    False   rafiki       friend        fried
14         15        94189.7745  1385.5405     True   chunga          pot          pot
15         16        98337.2254        inf     True    jioni      evening      evening
16         17       109398.8669  2057.9202     True  chakula         food         food
17         18       114130.0136  6449.9278     True     basi          bus          bus
18         19       123259.5258  3697.1610     True   wakati        alarm        alarm
19         20       129856.4325  1140.5339     True    pombe         beer         beer
20         21       133554.0365  1073.0682     True      ufu        death        death
21         22       137652.8468  2562.9603     True    tunda        fruit        fruit
22         23       143033.6384  2326.9055     True    duara        wheel        wheel
23         24       148730.7853  1306.3399     True     kioo       mirror       mirror
24         25       153244.6727  2569.8372     True     bibi  grandmother  grandmother
25         26       160191.5324  1281.6442     True  kitanda          bed          bed
26         27       164239.7877   989.0421     True     siri       secret       secret
27         28       168771.7775  1569.4003     True   degaga      glasses      glasses
28         29       173852.0532  1045.7779     True   farasi        horse        horse
29         30       179100.5482        inf     True    kamba         rope         rope
