    trial_num  trial_start_time          rt  correct    prompt    answer  response
0           1        19714.8782   3095.5818    False      duka      shop      door
1           2        25195.3243   1071.2456     True     afisi    office    office
2           3        30797.6093   2006.7015    False    farasi     horse      book
3           4        35436.2389   4200.3441    False   dhoruba     storm      door
4           5        42527.3264   1292.0959     True      kisu     knife     knife
5           6        46882.6716   1385.2085    False    kichwa      head      food
6           7        51703.5472   1733.9109     True     dunia     world     world
7           8        56126.5828   1539.5051     True  kaputula     pants     pants
8           9        60560.1221   1970.0311     True     lango      door      door
9          10        65205.0251   1011.6365     True      jiwe     stone     stone
10         11        68994.5459   2423.2936     True    likizo  holidays  holidays
11         12        75422.7221   3363.5216    False     duara     wheel      bear
12         13        81315.3244   3611.8390    False    kanisa    church      food
13         14        87360.8191   2145.3062     True   chakula      food      food
14         15        91944.4360   8856.1729    False   maslahi  interest      head
15         16       103822.3301   3364.2047     True    tabibu    doctor    doctor
16         17       110309.6706    902.8765     True      siri    secret    secret
17         18       114188.1913   5195.2970     True      maji       ice       ice
18         19       121712.2168         inf    False    karamu     party          
19         20       138762.5312   2348.1903     True      dubu      bear      bear
20         21       143688.7342   1387.1458     True     tunda     fruit     fruit
21         22       147761.3702   1604.3260    False    chunga       pot      food
22         23       151907.1230   2448.3271    False    fasihi      book     horse
23         24       157055.4283   4570.7124     True   chapati     bread     bread
24         25       164331.4415   1161.0621     True    bahari       sea       sea
25         26       167984.9509   4051.0940    False     kamba      rope     dance
26         27       175311.1851   2748.3735    False   kitanda       bed     dance
27         28       180799.0517  14302.3207    False    degaga   glasses      part
28         29       197816.0598         inf    False     sauti     voice     hello
